151,36,281,62,157,82,235,532,252,761,231,598,264,295,243,150,119,148,81,51,49
79,105,297,98,188,66,146,340,157,812,202,780,160,448,313,144,122,45,67,32,45
142,97,604,81,291,50,45,316,42,342,230,296,179,214,342,101,134,49,152,40,10
71,46,171,47,96,44,89,225,187,442,366,493,417,336,176,79,125,16,84,10,44
35,30,236,34,96,26,75,92,193,324,315,219,292,69,124,70,96,33,128,30,196
62,31,313,38,95,20,95,269,231,425,436,394,410,237,104,84,73,54,73,42,248
58,31,300,42,70,20,60,227,214,280,392,257,415,115,89,68,64,39,64,38,128
53,31,327,41,72,18,57,239,203,251,368,207,395,113,102,82,79,21,51,47,165
0,55,344,23,65,36,71,76,105,175,104,285,94,50,182,80,38,27,0,57,0
63,121,428,57,111,51,42,175,9,530,100,551,103,109,261,90,61,47,58,44,24
85,48,1005,30,114,49,34,339,93,262,192,505,159,68,167,60,65,48,18,37,25
157,34,900,69,155,29,64,191,53,311,163,423,110,228,181,48,45,31,130,20,34
112,34,397,19,170,29,79,436,126,789,149,794,216,566,190,50,169,61,189,22,37
0,22,595,30,0,8,56,0,2,71,17,261,49,0,23,15,54,0,0,0,4
46,23,278,40,37,135,131,384,101,619,161,659,178,256,88,23,508,115,236,134,316
215,29,317,62,197,43,153,190,225,379,144,494,181,295,167,77,95,77,85,76,170
97,203,583,117,118,43,49,29,36,27,130,344,115,93,341,221,24,11,45,79,33
114,26,552,31,164,69,259,304,196,649,434,646,501,241,136,39,143,104,150,53,128
92,25,531,24,211,100,136,227,56,432,255,288,170,92,220,90,60,53,44,46,30
123,60,492,67,76,46,145,468,93,579,188,663,175,276,42,84,59,18,66,6,34
30,31,532,60,120,72,165,359,147,575,224,722,353,233,163,88,133,92,49,48,26
47,47,311,18,87,32,102,249,228,625,199,592,228,364,183,38,126,29,116,13,17
107,73,627,71,276,36,54,393,143,417,263,364,243,128,187,64,198,104,44,60,81
191,34,582,47,193,18,146,404,182,544,232,510,290,187,147,97,248,136,161,44,226
62,35,367,26,173,31,94,371,136,522,128,619,155,226,146,55,107,33,61,22,75
100,33,418,54,102,57,55,163,32,259,244,261,227,303,53,42,39,31,61,24,120
14,144,315,166,64,131,91,432,161,575,262,612,262,323,161,167,85,148,0,67,0
97,46,390,48,291,36,244,303,377,693,180,667,182,183,204,85,208,24,71,33,37
0,97,1037,75,138,75,96,162,202,331,95,230,154,100,93,83,81,103,10,56,27
0,86,469,68,41,162,163,18,138,221,55,123,224,210,199,53,59,137,0,26,278
